station_id,adresse,ville,cp,latitude,longitude
11370001,route de Leucate plage,LEUCATE,11370,4290642.95874,303680.630734
11370004,LIEUDIT CAP DE FRONTAVENUE DES ROSEAUX,PORT LEUCATE,11370,4285400,303500
11390001,"1, impasse des Corbières",MOUTHOUMET,11330,4296000,252900
11400002,88 Avenue Monseigneur de Langle,Castelnaudary,11400,4331300,196500
11400004,ROUTE DE CARCASSONNE,Castelnaudary,11400,4331100,197100
11400005,211 ROUTE DE VILLASAVARY,CASTELNAUDARY,11400,4330500,195900
11400008,129 AVENUE MONSEIGNEUR DELANGLE,Castelnaudary,11400,4331500,196000
11400009,1033 AVENUE MARTIN DAUCH,CASTELNAUDARY,11400,4332400,193600
1140001,416 AVENUE DE LA LIBERATION,Saint-Didier-sur-Chalaronne,01140,4618000,481700
11430001,Avenue de Narbonne,GRUISSAN,11430,4310800,309100
11430002,ZA DE MATEILLE,GRUISSAN,11430,4311800,310400
11480007,AIRE DE LAPALME EST,La Palme,11480,4297984,298637
11480008,route départementale 6009,La Palme,11480,4294543.586,298900.48
11480009,Aire de service de La Palme Ouest - Sens France Espagne,La Palme,11480,4295100,297000
11500002,STATION PIERRE LYS,Quillan,11500,4287800,218300
11500004,6 Avenue F.Mitterrand,QUILLAN,11500,4287800,218600
11500005,ZA LA PLAGE SUD,QUILLAN,11500,4289300,219400
1150001,8 RUE DE L'INDUSTRIE,LAGNIEU,01150,4590200,534600
1150002,Avenue Charles de Gaulle,SAINT-VULBAS,01150,4583900,527800
11540001,ROUTE NATIONALE 9,ROQUEFORT-DES-CORBIèRES,11540,4299200,297100
11560002,167 Avenue P Brossolette,Saint-Pierre-la-Mer,11560,4317200,318100
11590002,Place du Portail,Sallèles-d'Aude,11590,4325654,294731
11590004,Route d'Ouveillan,Sallèles-d'Aude,11590,4326593.4788749,294899.85947624
11600005,RD 620 Lieu dit la pièce,VILLEGLY,11600,4328200,243700
1160002,Le Pont Rompu - RD 1084,PONT-D'AIN,01160,4604000,534200
1160003,Rue du Docteur Hubert,NEUVILLE-SUR-AIN,01160,4607400,537600
1160005,RTE DE BOURG RN 75,Pont-d'Ain,01160,4605335.06156,533741.036717
11620001,Lieu dit La Viala,VILLEMOUSTAUSSOU,11620,4325200,236100
11700001,RN113,CAPENDU,11700,4318546,255730
11700005,4 Avenue du Minervois,LA REDORTE,11700,4325200,265200
11700007,Autoroute A61,Capendu,11700,4318500,256100
11700008,A61 Aire des Corbières Nord,Capendu,11700,4317800,254300
11700009,"LIEU DIT ""ROC DEL DIE""",Capendu,11700,4318807.5466812,256439.00511237
1170001,RN5,SéGNY,01170,4629300,607900
1170002,Lieu-Dit les Vertes Campagnes,GEX,01170,4632200,605300
1170003,Route de Divonne les Bains,Gex,01170,4633755,607534
1170005,156 Av. des Tilleuls,GEX,01170,4633522.3298904,606033.43164575
11800002,RN 113,TRèBES,11800,4320300,244300
11800003,Boulevard du Minervois,Trèbes,11800,4321039.7690288,245427.09242121
1190001,PAE Pont de Vaux Est,Saint-Bénigne,01190,4644200,497000
1200001,69 Rue de la République,Bellegarde-sur-Valserine,01200,4610600,582300
12000010,10 bis Avenue de la Gineste,Rodez,12000,4436200,257200
12000011,Avenue de Bamberg,Rodez,12000,4436135.1370221,258846.17569915
12000013,616 AVENUE DE DECAZEVILLE,RODEZ,12000,4437000,254800
12000014,33 Bd Paul ramadier,Rodez,12000,4435921.9211413,256985.24525378
12000015,18 AVENUE DU SÉGALA,RODEZ,12000,4434513.578907,256769.57284615
12000016,24 avenue de la gineste,RODEZ,12000,4436200,256600
1200003,Avenue Maréchal de Lattre de Tassigny,Bellegarde-sur-Valserine,01200,4612400,581200
12100002,144 Avenue Jean Jaurès,Millau,12100,4411000,308200
12100004,AVENUE DU PONT LEROUGE,Millau,12100,4409100,307700
12100005,82 Avenue Jean Jaurès,MILLAU,12100,4410700,308100
12100006,Avenue de Saint Affrique,CREISSELS,12100,4408100,304200
12100009,Avenue de l'Europe,Millau,12100,4408729.4857348,305648.93391625
1210001,Chemin de la Brunette,FERNEY-VOLTAIRE,01210,4625303,611817
12100010,25 AVENUE EDOUARD ALFRED MARTEL,MILLAU,12100,4411400,308200
12100011,150 bd Georges Brassens,Millau,12100,4411600,307000
1210003,Route de Meyrin,FERNEY-VOLTAIRE,01210,4624400,609500
12110002,Avenue du 19 Mars 1962,CRANSAC,12110,4452600,226900
12110003,Zone de Laubarède,Viviez,12110,4455984.7110438,221763.49503696
12110004,41ter Avenue Adam Grange,Viviez,12110,4456100,223100
12120001,Z.A. PLAISANCE,Cassagnes-Bégonhès,12120,4417642.425,252119.462
12120002,Lieu dit plaisance,Cassagnes-bégonhès,12120,4417498,252143
