station_id,marque
20167008,Vito
20167010,Vito
20167012,Station Vito Aiacciu-Baléone
20167013,TotalEnergies
20169002,Ets. Botti
20169003,Total
20170002,Total
20189001,TotalEnergies
20189002,Total
20190002,Vito
20200006,Total
20200008,Esso
20200014,Vito
20200016,Station Vito Fangu
20213004,Vito
20213005,Vito
20213007,TotalEnergies
20215001,Vito
20217001,Vito
20217004,TotalEnergies
20217005,Vito
20218001,Vito
20218004,Vito
20218007,TotalEnergies
20218008,Vito
20218009,Mariotti Energia
20219003,Total
20220001,Total
20220002,Vito
20220003,Esso
20220006,TotalEnergies
20221001,Vito
20222001,Esso
20224001,Total
20228005,Vito
20230003,Vito
20230006,Total
20230008,Vito
20230011,Total
20235001,TotalEnergies
20240001,Vito
20240002,Total
20240003,Total
20240004,Vito
20240005,Vito
20243001,Total
20245002,Energia Suprana
20248001,Total
20250001,Vito
20250002,TotalEnergies
20250003,Vito
20260001,TotalEnergies
20260002,TotalEnergies
20260003,Vito
20270001,Vito
20270003,TotalEnergies
20290002,Total
20290003,TotalEnergies
20290008,Vito
20290009,Vito
20290010,Esso
20538001,Vito
20600002,Station Vito
20600003,TotalEnergies
20600004,TotalEnergies
20600006,TotalEnergies
20600007,Esso
20600009,Esso
20600010,Vito
20600011,Eni
20600014,Vito
20600015,Vito
20620002,Esso
20620004,Eni
20620005,Vito
21000001,Station service Carrefour
21000006,Avia
21000009,Esso
2100001,Auchan
21000010,Esso
21000011,Esso Express
21000012,E.Leclerc
21000013,Sa Piretti
21000017,Avia
21000022,Avia
21000024,Intermarché
21000025,Total
21000027,TotalEnergies
21000029,Total
2100008,Esso
2100009,E.Leclerc
2100011,TotalEnergies
2100012,Carrefour
2100013,Intermarché
2100018,D.M. Combustibles
2100019,Intermarché
2100020,Total Access
2100021,Netto
21110001,Avia
21110003,Esso
21110005,Intermarché
21110006,Intermarché
21120001,Avia
21120002,Eni
21120003,Independent
21120004,Avia
21120005,Intermarché
21120006,TotalEnergies
21121003,Intermarché
21121007,Total Access
21121008,Intermarché
21130004,Intermarché
21130008,E.Leclerc
21130009,E.Leclerc
21130010,E.Leclerc
21130013,Netto
21140001,AVIA
21140002,TotalEnergies
21140003,Intermarché
21150001,Avia
21150002,Station U
21160001,Carrefour
21160004,Total Access
21160005,E.Leclerc
21170001,Intermarché
21190002,Carrefour
21190006,TotalEnergies
21190007,TotalEnergies
21200001,Carrefour
21200003,Esso
21200005,E.Leclerc
21200006,Intermarché
21200007,Esso
21200009,TotalEnergies
21200010,E.Leclerc
21200011,Gas Station (Netto / Les Mousquetaires)
2120004,Intermarché
2120005,Total
2120006,Carrefour
21204001,Total
21210001,Avia
21210005,Total
21220003,Super U
21220006,Fulli
21220008,Avia
21230005,Carrefour Contact
21230006,Avia
21230007,Eni
21240003,Super U
21240004,Total
21250001,Bi1
21250005,Avia
21250006,Intermarché
21250009,Avia
21250010,Total
21260001,B1
21270001,Avia
21300004,Super U
2130001,Super U
2130005,Avia
2130006,Avia
21320001,Super U
21320004,Carrefour
21320006,Avia
21320007,Eni
21320009,Esso
21330001,Avia
21340001,Avia
21340002,Total
21350001,Avia
21350002,Shell
21360001,Avia
21360003,Esso
21360006,Fulli
21370002,Intermarché
21390001,Avia
21400001,Avia
21400002,TotalEnergies
21400005,Intermarché
21400009,Avia
21400010,Independent
2140003,Intermarché
2140005,E.Leclerc
2140006,E.Leclerc
21410001,station-service
21430003,Rousseau Carburant
21440001,Natura'lisa Gamm Vert
21460002,Avia
21460003,bi1
21490003,Total
21490005,Carrefour
21500002,Total
21500003,TotalEnergies
21500004,Netto
21500005,Intermarché
21510001,Avia
21530002,Perreau Carburants
21530004,Carrefour
21540001,La station U
21540002,Netto
21560001,Système U
21600006,Total
21600008,Avia
21610001,Intermarché
21610002,BER Énergies
21640001,Avia
21700001,Carrefour
21700004,Intermarché
21700005,Total
21700007,DATS 24
2170001,Carrefour Market
21800002,Carrefour
21800007,Système U
21800009,TotalEnergies
21800010,Carrefour Market
21800012,Avia
21800013,Intermarché
2190003,Avia
2190005,Shell
2190007,Carrefour
22000002,Super U
2200001,Carrefour
22000010,Total Contact
22000011,TotalEnergies
22000013,TotalEnergies
2200007,Esso Express
2200008,Esso Express
2200010,Intermarché
2200012,Carrefour
2200013,Total
2200014,Total
2200015,Total
2200016,Carrefour
22100001,Carrefour
22100004,Intermarché
22100007,Système U
22100009,Total
22100010,E. Leclerc
22100011,Esso
2210002,TotalEnergies
22104001,E.Leclerc
22110002,E. Leclerc
22110003,Intermarché
22120001,Hyper U
22120003,Remy Guguen
22120005,Intermarché
22120007,Avia
22130001,Super U
22130002,E. Leclerc
22140002,Intermarché
22140003,Total
22150005,Carrefour
22160003,Intermarché
22170004,Total
22170005,Carrefour Market
22190001,E.Leclerc
22200003,Carrefour
22200004,Intermarché
22200005,TotalEnergies
22200006,Total Access
22200007,Garage Bahezre
2220001,Carrefour
22203001,E.Leclerc
22210001,Système U
22220001,La Station U
22220003,Intermarché
22230003,La Station U
22230004,Total
22240001,TotalEnergies
22240003,Coccinelle
22250001,Station U
22250002,Intermarché
22260001,Intermarché
22270001,Carrefour Express
22290001,Super U
22290002,Total Energies
22290003,Goëlo Services
22300002,E.Leclerc
22300003,E.Leclerc
22300004,Intermarché
22300005,Intermarché
22300006,Intermarché
22300007,Intermarché
