station_id,adresse,ville,cp,latitude,longitude
59155007,C.C. AUCHAN - LIEU-DIT MOULIN DE,Faches-Thumesnil,59155,5058400,308400
59155008,93 route d'arras,Faches-Thumesnil,59155,5060900,306000
59156002,RUE SOCRATE,LOURCHES,59156,5031100,334600
59157002,RD 643 LE JEUNE BOIS,Beauvois-en-Cambrésis,59157,5013800,339500
59160002,130 RUE DU GRAND BUT,LOMME,59160,5064900,298000
59160003,"293, avenue de Dunkerque",LOMME,59160,5063900,302100
59160004,"219, rue Jean Jaurès",Lomme,59160,5064300,301200
59160006,16 RUE HEGEL,Lille,59160,5062869.8518151,301746.57061535
59161001,2 Rue Jean Jaurès,ESCAUDOEUVRES,59161,5018500,325400
59162001,Route de Thumeries,Ostricourt,59162,5046512,302745
59163001,avenue de la liberté,CONDé-SUR-L'ESCAUT,59163,5045200,359100
59163002,46 Avenue de la Liberté,CONDE-SUR-L'ESCAUT,59163,5045300,358900
59166001,27 rue Auger,BOUSBECQUE,59166,5076700,308700
59167003,Rue de Pecquencourt,Lallaing,59167,5038890.912316,317392.9863807
59174002,AUTOROUTE A2 - AIRE DE LA SENTINELLE OUEST,LA SENTINELLE,59174,5034076.2248246,346819.39305566
59174003,960 avenue Jean Jaurès,La Sentinelle,59174,5034600,348000
59176001,1 Rue de Monchecourt,Masny,59176,5033629,320489
59179002,79 PLACE DES FUSILLES,FENAIN,59179,5036600,330000
59180001,1 Rue du Hoogheporte,CAPPELLE-LA-GRANDE,59180,5099600,236700
59182001,Avenue Raymond Honoré,Montigny-en-Ostrevent,59182,5036750,319031
59184002,AVENUE DE LA SABLONNIERE,Sainghin-en-Weppes,59184,5056437.216,289924.34
59190002,Parc d'Activités de la Creule,Hazebrouck,59190,5073900,254900
59190003,Rue de l'Epeule,Hazebrouck,59190,5071500,254300
59190004,88 Rue Notre-Dame,HAZEBROUCK,59190,5073100,254400
